18:34:57 INFO  : Registering command handlers for SDK TCF services
18:35:00 INFO  : Launching XSCT server: xsct -n -interactive /home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/temp_xsdb_launch_script.tcl
18:35:02 INFO  : XSCT server has started successfully.
18:35:02 INFO  : Successfully done setting XSCT server connection channel  
18:35:03 INFO  : Successfully done setting SDK workspace  
18:35:03 INFO  : Processing command line option -hwspec /home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper.hdf.
21:15:04 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:15:04 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
21:15:05 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
21:16:37 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:16:38 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
21:16:39 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
21:18:11 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:18:11 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
21:18:12 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
21:20:08 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:20:08 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
